Type,Element,Rarity,Tier,LuckValue,Luck,Description,Color,Notes
Ability,200. Sandshot,1.1,Common,68.75,68.75,Conjure and launch sand from your fingers at non-lethal speeds but enough to harm people.,#9c7e5a,
Ability,75. Dampen,0.8,Trash,78.12,78.12,Allows you to dampen any object you are touching by making it more moist.,#a39589,
Ability,326.Horns,1.1,Common,68.75,68.75,Allows you to grow sturdy and pointy horns on your head.,#9c7e5a,
Ability,54. Droplet,0.3,Trash,93.75,93.75,Allows you to conjure small streams of water that drip down from your fingers. Barely enough to wash your hands.,#a39589,
Ability,377.Blood Manipulation,1.8,Common,46.88,46.88,"Allows you to telekinetically control your own blood, but you can't generate more blood without regeneration so be wise about spending it.",#9c7e5a,
Trait,253. Flexible,1.70,Common,50.0,50.00%,"You are inordinately flexible, even more so than an expert contortionist.",#9c7e5a,
Trait,253. Flexible,1.70,Common,50.0,50.00%,"You are inordinately flexible, even more so than an expert contortionist.",#9c7e5a,🔁 Repeated — +1 TP
Trait,96. Charming Smile,1.30,Common,62.5,62.50%,"Your smile is really charming, helping people feel more at ease and comfortable with you. Or more attractive to women.",#9c7e5a,
Trait,5. Blind Eye,1.10,Common,68.75,68.75%,"You just disappear in a crowd, as long as you shouldn't stand out you won't.",#9c7e5a,
Trait,236. Charming Eyes,1.60,Common,53.12,53.12%,"Not to be confused with the mystical eyes of charming, instead of hypnotizing people your eyes are just really pretty.",#9c7e5a,
Trait,43. Intermediate Lightning Resistance,3.50,Rare,0.1,0.10%,You are naturally resistant to lightning and lightning-based abilities.,#11d939,
Trait,327.Lesser Undead,2.50,Uncommon,25.0,25.00%,"Race - You are a lesser undead, once you get this trait you have to choose between being a zombie or a skeleton. As an undead, you have no stamina and instead consume energy for everything and get unique bonuses and demerits depending on the undead you end up as. Once a race trait is toggled it is permanent until contested.",#aed1d1,
Trait,101. Child Friendly,1.80,Common,46.88,46.88%,"Let's keep it PG, allows you to activate a filter that makes you more presentable to a younger audience, placing a censor on your privates, getting rid of gore on your body, etc.",#9c7e5a,
Trait,5. Blind Eye,1.10,Common,68.75,68.75%,"You just disappear in a crowd, as long as you shouldn't stand out you won't.",#9c7e5a,🔁 Repeated — +1 TP
Trait,198. Stable,2.60,Uncommon,21.87,21.87%,You will never lose your balance from anything short of your legs getting sheared off.,#aed1d1,
Trait,109. One Size Fits All,1.00,Common,71.88,71.88%,"Girls no longer feel any discomfort with your physical features, this extends to your phallus somehow fitting inside of them even if it reaches ludicrous sizes.",#9c7e5a,
Trait,236. Charming Eyes,1.60,Common,53.12,53.12%,"Not to be confused with the mystical eyes of charming, instead of hypnotizing people your eyes are just really pretty.",#9c7e5a,🔁 Repeated — +1 TP
Trait,68. Blood Pack,1.40,Common,59.38,59.38%,"Your body holds inordinate amounts of blood, approximately 5 times the average person, this does not affect your body in any noticeable way... somehow.",#9c7e5a,
Trait,171. Cuddle King,2.10,Uncommon,37.5,37.50%,"You are the king of cuddling, whoever you are cuddling or having a skinship with will feel comfortable, and you are the best cuddling partner. Good for building relationships.",#aed1d1,
Trait,4. Digestive Expulsion Independence,0.50,Trash,87.5,87.50%,You never piss or shit. Don't ask where all the waste in your body goes.,#a39589,
Trait,4. Digestive Expulsion Independence,0.50,Trash,87.5,87.50%,You never piss or shit. Don't ask where all the waste in your body goes.,#a39589,🔁 Repeated — +1 TP
Trait,236. Charming Eyes,1.60,Common,53.12,53.12%,"Not to be confused with the mystical eyes of charming, instead of hypnotizing people your eyes are just really pretty.",#9c7e5a,🔁 Repeated — +1 TP
Trait,61. Venomous,2.80,Uncommon,15.62,15.62%,"You are venomous, and your bite contains paralyzing venom.  The power of the paralysis scales with your physical abilities.",#aed1d1,
Trait,132. Golden Shot,1.20,Common,65.62,65.62%,"Your little swimmers are the strongest in the world, any woman you cum inside of WILL get pregnant, even if they are more barren than the arid desserts your semen does not care.",#9c7e5a,
Trait,5. Blind Eye,1.10,Common,68.75,68.75%,"You just disappear in a crowd, as long as you shouldn't stand out you won't.",#9c7e5a,🔁 Repeated — +1 TP
Item,211. The Straw Hat,0.70,Trash,81.25,81.25%,One Piece - Holds a lot of sentimental value to a certain sun god but not much material value.,#a39589,
Item,112. Can of Febreeze,0.10,Trash,100.0,100.00%,A can of Febreze that can spray infinitely. From Walmart.,#a39589,
Item,199. Blue Moon,1.70,Common,50.0,50.00%,Terraria - A flail retrieved from the cursed dungeon. It is made out of incredibly durable material and the chain can stretch up to 50 meters long.,#9c7e5a,
Item,373. The Courier's Stash,1.50,Common,56.25,56.25%,"Fallout - A stash every courier needs to have around just in case they get robbed, shot in the head and left for the dead. This large briefcase contains a lightweight metal armour, a double-barrel shotgun with 20 packs of 20 shells, 4 basic repair kits, and 5 stim packs.",#9c7e5a,
Item,43. A pair of very comfortable socks,0.10,Trash,100.0,100.00%,"Very comfortable, if you managed to roll this out of every treasure of the multiverse inside of the gacha you deserve pity.",#a39589,
Item,149. Hormone Cookies,1.60,Common,53.12,53.12%,"Hunter x Hunter - These cookies when ingested, temporarily change the user's gender to the opposite sex. These effects last for 24 hours. The card gives you 10 boxes, with each box containing 20 cookies. Eating 20 in one day makes the change permanent.",#9c7e5a,
Item,18. A skeleton,0.10,Trash,100.0,100.00%,An ordinary human skeleton from a completely ordinary person,#a39589,
Item,211. The Straw Hat,0.70,Trash,81.25,81.25%,One Piece - Holds a lot of sentimental value to a certain sun god but not much material value.,#a39589,🔁 Repeated — +1 TP
Item,18. A skeleton,0.10,Trash,100.0,100.00%,An ordinary human skeleton from a completely ordinary person,#a39589,🔁 Repeated — +1 TP
Item,112. Can of Febreeze,0.10,Trash,100.0,100.00%,A can of Febreze that can spray infinitely. From Walmart.,#a39589,🔁 Repeated — +1 TP
Item,327. Gold Ring Gift,1.00,Common,71.88,71.88%,Æ Gold Ring that you can give as a gift to a loved one. The patterns of the ring customize themselves according to whoever you give them to.  Restock Timer: 48 Hours,#9c7e5a,
Item,425.Justice's Shades,1.80,Common,46.88,46.88%,Helltaker - A pair of cool shades belonging to the blind demon. When wearing these shades you are able to tell when someone speaking to you thinks they are lying to you.,#9c7e5a,
Item,112. Can of Febreeze,0.10,Trash,100.0,100.00%,A can of Febreze that can spray infinitely. From Walmart.,#a39589,🔁 Repeated — +1 TP
Item,103. Dread Helm,0.70,Trash,81.25,81.25%,"DnD - A black metal helmet that is fairly durable, the eye holes in the visor can also glow an intimidating red.",#a39589,
Item,447.ColorS,1.20,Common,65.62,65.62%,Fairy Tail - A small book-like magic item that allows the holder to change the color scheme of their clothing by sliding their finger over its surface.,#9c7e5a,
Item,208. Super Absorbant Sponge,1.40,Common,59.38,59.38%,"Terraria - A sponge that can hold approximately 1,000,000,000 liters of water inside of it, don't ask how it doesn't change in size or weight regardless of how much is inside of it.",#9c7e5a,
Item,149. Hormone Cookies,1.60,Common,53.12,53.12%,"Hunter x Hunter - These cookies when ingested, temporarily change the user's gender to the opposite sex. These effects last for 24 hours. The card gives you 10 boxes, with each box containing 20 cookies. Eating 20 in one day makes the change permanent.",#9c7e5a,🔁 Repeated — +1 TP
Item,211. The Straw Hat,0.70,Trash,81.25,81.25%,One Piece - Holds a lot of sentimental value to a certain sun god but not much material value.,#a39589,🔁 Repeated — +1 TP
Item,447.ColorS,1.20,Common,65.62,65.62%,Fairy Tail - A small book-like magic item that allows the holder to change the color scheme of their clothing by sliding their finger over its surface.,#9c7e5a,🔁 Repeated — +1 TP
Item,183. XII - The Hanged Man,1.50,Common,56.25,56.25%,Tarot Card - Allows you to absorb all of the wounds and ailments of a target while lessening their intensity by 20%. 120 Hour Cooldown,#9c7e5a,
Item,272. Charismatic Sunglasses,1.30,Common,62.5,62.50%,A pair of really cool-looking sunglasses that make you seem more charismatic. Are the sunglasses charismatic because they look cool or do they look cool because they make you more charismatic?,#9c7e5a,
Item,447.ColorS,1.20,Common,65.62,65.62%,Fairy Tail - A small book-like magic item that allows the holder to change the color scheme of their clothing by sliding their finger over its surface.,#9c7e5a,🔁 Repeated — +1 TP
Item,154. Doyens Growth Pills,1.10,Common,68.75,68.75%,"Hunter x Hunter - A vial of 100 pills that make you grow by 1cm each time you take a pill, it is not advised to be used by people under 20 years of age. Restock Timer: 168 Hours",#9c7e5a,
Item,131. Gold Apple,2.40,Uncommon,28.12,28.12%,"Minecraft - A magical apple with skin resembling gold, eating it gives the eater uncommon level regeneration for one hour. Restock Timer: 120 Hours",#aed1d1,
Item,161. Scrap Iron Candy,1.40,Common,59.38,59.38%,"Blacksouls -""Tastes like its name"" When consumed, bolsters the user's defence for 30 minutes. Restock Timer: 8 Hours",#9c7e5a,
Item,129. Super Crown - Mario,2.30,Uncommon,31.25,31.25%,A magical crown that turns whoever wears it into a pretty girl.,#aed1d1,
Item,149. Hormone Cookies,1.60,Common,53.12,53.12%,"Hunter x Hunter - These cookies when ingested, temporarily change the user's gender to the opposite sex. These effects last for 24 hours. The card gives you 10 boxes, with each box containing 20 cookies. Eating 20 in one day makes the change permanent.",#9c7e5a,🔁 Repeated — +1 TP
Item,436.Saw Cleaver,2.00,Uncommon,40.62,40.62%,"Bloodborne - Iconic weapons of the hunters. This saw can transform into a long cleaver or a serrated saw depending on your needs. In addition, this weapon is stronger the most beastlike your opponent is.",#aed1d1,
Item,154. Doyens Growth Pills,1.10,Common,68.75,68.75%,"Hunter x Hunter - A vial of 100 pills that make you grow by 1cm each time you take a pill, it is not advised to be used by people under 20 years of age. Restock Timer: 168 Hours",#9c7e5a,🔁 Repeated — +1 TP
Item,146. Poltergeists Pillow,2.50,Uncommon,25.0,25.00%,"Hunter x Hunter - This card allows the user's spirit to explore the world at your own will, providing that you sleep on it first. This card can be useful for spying on other people or just plain exploring the world in a different way. Whilst in your astral form, you are able to pass through solid objects and you can't be seen by other creatures. You will turn into a real ghost though if you don't return to your body within 24 hours.",#aed1d1,
Skill,67. Novice Taming,1.10,Common,68.75,68.75%,"You know how to tame wild creatures, but not very precisely. With trial and error, you can probably tame a creature but it won't be easy, though you can easily tame and train mundane animals.",#9c7e5a,
Skill,56. Novice Biology,1.10,Common,68.75,68.75%,"You have the skills and knowledge of a Biology Major. You have a decent repertoire of knowledge regarding biology, bodies and organs as well as how things interact with biology.",#9c7e5a,
Skill,68. Novice Massage,1.20,Common,65.62,65.62%,"You are as skilled as an apprentice masseuse, you know how to give someone a massage that feels good and can relieve pressure but not much beyond that.",#9c7e5a,
Skill,★ 116. Expert Massage,4.08,Elite,0.1,0.10%,"You are an expert masseuse on the level of a grandpa who spent his life refining his craft. You can give massages that melt away exhaustion, help revitalize the body, ones that give unmatched sexual pleasure, relieve tension etc.",#1172d9,✨ Boosted Star Bonus — -16 TP
Skill,56. Novice Biology,1.10,Common,68.75,68.75%,"You have the skills and knowledge of a Biology Major. You have a decent repertoire of knowledge regarding biology, bodies and organs as well as how things interact with biology.",#9c7e5a,🔁 Repeated — +1 TP
Skill,59. Novice Math,1.50,Common,56.25,56.25%,"You are good at calculating things in your head and doing calculations on the spot. You can solve most math problems you would be able to solve, rather easily in your head instead of writing things down like a human calculator.",#9c7e5a,
Skill,74. Adept Drawing,3.00,Rare,9.38,9.38%,"You are great at drawing at the level of a seasoned illustrator, you can make very realistic paintings and very stylized ones too. In addition, you draw extremely fast, far faster than someone of your skill level should without suffering from a decrease in quality.",#11d939,
Skill,186.Intermediate Savoir Faire,2.70,Uncommon,18.75,18.75%,You know how to move with grace and finesse. You are light on your feet and you can definitely tear up the dance floor. You rarely lose your balance and can perform parkour. You can also perform flips and manoeuvres with decent grace.,#aed1d1,
Skill,49. Novice Cooking,1.30,Common,62.5,62.50%,"You are a novice in the culinary arts, you can cook most basic meals and they will taste good. But don't expect to get a job as a chef. You will however improve much faster than other people if you choose to train yourself.",#9c7e5a,
